"Zone","Population","Waste_Generated_kg","Recycled_kg","Organic_Percent","Plastic_Percent","Collection_Frequency","Smart_Bins_Used","Complaint_Count","Sensor_Failure_Rate"
"North",9971,5649.7,1997.2,19.8,28.1,3,"Yes",10,0.03
"South",8508,5884.3,2626.7,55.3,20.6,1,"No",3,0.16
"North",12845,6591.8,1949.1,20.8,36.2,4,"Yes",28,0.2
"West",11332,5806.1,819,35.1,47.2,2,"Yes",14,0.15
"North",12845,7815.6,2402.5,57.3,43.7,6,"Yes",29,0.24
"South",6548,710.1,2902,22.3,39.8,4,"No",18,0.19
"East",13904,4134.7,291,45.2,16.2,6,"No",25,0.12
"East",6672,6507,966.8,27.2,15.5,2,"Yes",4,0.06
"South",11017,6573,2511.8,66.6,30,6,"No",9,0.12
"West",6516,981.3,204.8,32.6,18.4,5,"Yes",10,0.08
"West",9041,804.9,630.4,10.9,26.2,4,"No",6,0.17
"East",8310,1253.3,2143.3,52.3,34.9,6,"Yes",9,0.2
"North",5785,7665.9,681.8,88.9,52.5,4,"No",8,0.22
"South",14255,4802.3,663.6,58.6,51.5,5,"No",8,0.18
"North",7760,2265.5,3468,71.1,57.3,4,"Yes",11,0.03
"North",9566,3884,3159.2,69.3,30.4,7,"Yes",2,0.13
"North",6795,5979.9,1536.3,46.5,39.6,6,"No",30,0.24
"North",9558,3152.8,1804.9,58.5,42.2,3,"No",17,0.25
"North",7449,6164.7,3843.5,79.6,50.1,3,"Yes",3,0.18
"East",6672,3093.8,293.5,78.6,43.1,7,"No",2,0
"North",14847,3640.8,1720.6,75.3,52.4,1,"Yes",4,0.24
"South",14003,5522.1,247.2,83.3,30.6,3,"No",11,0.06
"East",8048,865.3,1756.4,48.6,41.5,1,"No",3,0.07
"East",7329,3205.5,2143.3,15.5,8.5,2,"Yes",6,0.05
"East",10338,6866.4,741.7,43.2,11.1,6,"No",19,0.07
"South",6830,6014.1,805.4,15.4,19.7,4,"No",13,0.13
"South",7592,7946.2,2211,85.6,11.6,7,"No",11,0.04
"West",13311,7036.3,294.6,24.2,30.8,3,"No",9,0.1
"East",7316,7135.6,3026.6,34.7,41.7,7,"Yes",29,0.2
"North",10734,1067.1,697.9,47.7,14.5,2,"No",5,0.25
"North",10790,1067.1,656.3,31.8,18.2,4,"No",15,0.12
"West",12718,7034.5,1448.4,73.6,20.6,2,"No",9,0.01
"North",7517,5055.2,615.3,39,38.4,6,"Yes",25,0.09
"North",10976,2984.5,665.1,34.6,5.9,3,"No",8,0.22
"East",6922,6759.6,1669.1,29,36.2,5,"No",13,0.15
"North",5458,3528.7,3038.2,46.8,8.4,1,"Yes",25,0.11
"North",11822,667,627.8,29.1,57.4,5,"No",30,0.06
"North",6232,4988,3518.5,28.1,43.7,2,"Yes",5,0.13
"North",8145,7912.3,2027.2,47.9,41.5,5,"Yes",1,0.12
"East",10085,4265.2,3710.9,75.8,22.1,2,"No",16,0.21
"East",8768,1678.8,2788.2,22.6,28.3,1,"Yes",1,0.16
"West",12995,345,3880.1,19.5,7.7,7,"Yes",12,0.08
"South",14459,7566.4,2509.3,89.6,28.2,4,"No",17,0.06
"North",14530,5356.1,2895.2,27.3,7.1,5,"Yes",19,0.07
"West",5269,7996.3,1354.4,83.8,17.5,7,"No",29,0.2
"North",5617,6642.8,1849.4,16.2,58,7,"Yes",1,0.02
"North",7491,7020,2733.6,73.5,16.9,2,"Yes",16,0.1
"South",7535,544.5,118,21.4,18.2,3,"No",3,0.02
"North",14313,2064.3,1648.7,88.8,52.7,5,"Yes",11,0.17
"West",6819,7877.4,722.7,74,28.1,1,"Yes",25,0.14
"South",11380,1539.4,2525.4,66.9,15.8,2,"No",7,0.07
"South",8803,785.8,2902,22.3,39.1,3,"No",3,0.24
"South",13415,6438.1,781.6,12.3,15.5,6,"Yes",26,0.17
"North",13538,2179.8,1939.4,34.8,25.3,4,"No",20,0.25
"East",9743,4777,1929.5,76.4,53.1,5,"Yes",4,0.17
"South",11089,5713.7,3123.9,28.1,26.2,2,"Yes",15,0.09
"South",7747,7946.2,3843.5,88.6,35.6,6,"No",3,0.13
"South",10218,341.3,2682.2,38.1,57.1,2,"Yes",28,0.17
"East",14841,6742.3,2134.8,16.2,52.4,7,"Yes",6,0.13
"North",10595,3661.8,2509.7,22.2,32.5,1,"Yes",0,0.14
"South",10501,883.7,3868.4,72.2,7.9,5,"Yes",26,0.14
"South",5051,4137.4,1369,80.3,54.1,3,"Yes",23,0.13
"North",9674,648.9,2902,33.6,51.6,4,"No",4,0.02
"North",9302,500.3,3662,63.1,44.7,4,"No",10,0.02
"North",6463,1956,293.5,60.7,54.6,5,"No",8,0.2
"West",9162,5338.7,2649.4,50.3,41.1,2,"No",10,0.12
"South",12487,6760.1,651.3,73.2,11.9,6,"Yes",9,0
"East",14068,7748.6,1291.6,42.2,18,6,"Yes",11,0.18
"North",10410,7181.5,1455.8,13.5,55.7,6,"Yes",14,0.05
"West",8625,2432.6,394,46.3,60,6,"No",1,0.24
"South",11820,3348.7,734.7,18.9,41.9,2,"Yes",15,0.15
"East",11708,2183.2,2551.4,68.7,46.1,5,"Yes",28,0.24
"East",14791,7480.8,965.2,45.7,6.6,7,"Yes",25,0.03
"South",12614,5814.6,2318,30.3,44,6,"Yes",29,0.11
"West",5250,6995.4,1142.7,64.1,25.1,7,"Yes",29,0.24
"South",10381,6860.8,3838.6,13.6,18.3,2,"No",2,0.05
"South",14637,4895.8,3043.7,62,34.4,5,"Yes",15,0.13
"East",10731,1067.1,969.4,15.9,6.3,5,"No",15,0.11
"South",5949,3380.5,1721.6,43.4,51,6,"Yes",27,0
"South",5051,5026.6,3072.9,28.7,47.2,3,"Yes",24,0.2
"North",7760,404.1,3730.2,75.8,44.7,3,"Yes",15,0.1
"North",5598,493.3,2090.1,53.7,56.9,3,"No",5,0.12
"South",8583,5024.4,1094.2,74.2,50.8,5,"Yes",28,0.24
"South",12366,491.7,1940.9,60.8,40.2,7,"No",8,0.1
"East",9912,6641.1,1079.6,16.2,6.6,6,"No",19,0.22
"North",13600,7810.3,2651,33.2,56.2,7,"No",26,0.18
"West",12689,1215.1,1850.6,84.4,20.2,4,"No",21,0.17
"West",13432,1673.6,2723.6,17.4,22.9,6,"No",0,0.2
"East",8336,7115.9,3026.6,64.1,27.3,2,"Yes",15,0.12
"North",14011,542,2135.4,41.3,10.1,1,"No",16,0.08
"North",14259,7924.3,1661.1,75.3,56.8,5,"Yes",3,0.05
"West",6271,510.1,378.3,48.2,18.4,1,"No",6,0.09
"South",6445,6813.7,2844.5,55.3,10.3,7,"Yes",16,0.08
"South",12305,2126.4,2525.4,49.7,47.2,6,"No",28,0.2
"North",14973,4058.8,2938.4,73.8,9,3,"No",19,0.22
"East",9312,3118,696.7,72.3,37.9,7,"Yes",1,0.22
"North",8466,856.7,1797.6,63,22,5,"No",13,0.01
